Year,% Rotholz,% Resin
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,1,0
1986,1,0
1987,1,0
1988,3,0
1989,1,0
1990,1,0
1991,19,4
1992,15,0
1993,12,0
1994,6,0
1995,6,2
1996,5,0
1997,5,0
1998,13,0
1999,28,0
2000,60,2
2001,28,5
2002,0,0
2003,0,0
2004,3,5
2005,5,5
2006,11,5
2007,33,5
2008,26,0
2009,38,0
2010,43,2
2011,35,0
2012,21,0
2013,18,0
2014,13,0
2015,18,0
2016,18,2
