Year,% Rotholz,% Resin
1980,4,0
1981,0,0
1982,0,0
1983,0,0
1984,2,0
1985,2,0
1986,2,0
1987,5,0
1988,5,0
1989,3,0
1990,3,0
1991,1,0
1992,5,0
1993,5,0
1994,5,0
1995,6,0
1996,3,0
1997,5,0
1998,8,0
1999,5,0
2000,5,0
2001,3,0
2002,1,0
2003,3,0
2004,3,0
2005,3,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,1,0
2011,3,0
2012,3,0
2013,3,0
2014,3,0
2015,1,0
2016,2,0
