Year,% Rotholz,% Resin
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,8,0
1987,7,0
1988,7,0
1989,7,0
1990,17,0
1991,9,0
1992,12,0
1993,7,4
1994,13,3
1995,18,3
1996,30,3
1997,38,9
1998,39,2
1999,40,2
2000,40,1
2001,26,8
2002,36,2
2003,20,0
2004,24,0
2005,27,0
2006,29,0
2007,29,0
2008,23,0
2009,26,0
2010,30,0
2011,21,2
2012,16,0
2013,15,0
2014,10,0
2015,8,0
2016,10,0
