Year,% Rotholz,% Resin
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,33,0
1979,36,0
1980,42,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,3,0
1987,0,0
1988,0,0
1989,0,0
1990,20,24
1991,24,0
1992,33,0
1993,16,0
1994,11,0
1995,14,23
1996,9,0
1997,9,0
1998,14,0
1999,4,0
2000,6,0
2001,6,2
2002,4,0
2003,4,0
2004,4,0
2005,0,0
2006,0,0
2007,2,2
2008,6,0
2009,14,0
2010,16,0
2011,14,0
2012,18,0
2013,18,0
2014,20,0
2015,24,0
2016,21,0
