Year,% Rotholz,% Resin
1980,8,0
1981,8,0
1982,8,0
1983,8,4
1984,8,0
1985,8,0
1986,8,0
1987,4,0
1988,4,0
1989,4,0
1990,4,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,4,0
2000,8,0
2001,8,0
2002,8,0
2003,8,0
2004,8,0
2005,8,4
2006,8,0
2007,8,4
2008,13,4
2009,8,0
2010,8,0
2011,8,0
2012,8,0
2013,8,4
2014,0,0
2015,0,0
2016,0,0
