Year,% Rotholz,% Resin
1980,0,0
1981,5,0
1982,5,0
1983,10,0
1984,4,0
1985,15,0
1986,13,0
1987,2,0
1988,2,0
1989,4,4
1990,6,0
1991,6,0
1992,7,0
1993,5,0
1994,7,0
1995,3,0
1996,5,0
1997,3,0
1998,1,0
1999,13,0
2000,51,2
2001,55,10
2002,53,6
2003,31,2
2004,36,0
2005,45,2
2006,56,5
2007,56,3
2008,46,3
2009,41,2
2010,46,3
2011,41,3
2012,51,2
2013,51,0
2014,34,0
2015,29,2
2016,34,3
