Year,% Rotholz,% Resin
1980,5,0
1981,0,5
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,4,4
1993,0,0
1994,3,0
1995,3,0
1996,3,0
1997,3,0
1998,6,0
1999,3,0
2000,6,0
2001,0,0
2002,0,0
2003,3,0
2004,3,3
2005,0,3
2006,6,7
2007,17,10
2008,17,3
2009,10,0
2010,34,7
2011,24,17
2012,24,7
2013,13,10
2014,6,7
2015,3,4
2016,0,4
