Year ,% Rotholz,% Resin
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,5,0
1989,0,0
1990,0,0
1991,5,0
1992,5,0
1993,9,0
1994,8,0
1995,13,0
1996,13,0
1997,19,0
1998,21,0
1999,14,0
2000,14,0
2001,17,0
2002,10,0
2003,14,0
2004,7,0
2005,3,0
2006,10,0
2007,10,0
2008,0,0
2009,0,0
2010,7,0
2011,7,3
2012,17,0
2013,14,0
2014,10,0
2015,10,0
2016,11,0
