Year,% Rotholz,% Resin
1980,6,0
1981,2,0
1982,2,0
1983,2,0
1984,4,0
1985,6,0
1986,8,0
1987,4,0
1988,6,0
1989,7,0
1990,10,0
1991,18,0
1992,24,0
1993,26,0
1994,27,0
1995,28,2
1996,40,2
1997,27,3
1998,29,6
1999,31,2
2000,42,0
2001,29,0
2002,21,0
2003,14,3
2004,9,2
2005,11,0
2006,13,0
2007,23,0
2008,16,0
2009,20,2
2010,27,3
2011,23,0
2012,28,2
2013,23,0
2014,25,0
2015,28,2
2016,27,0
