bwa_pop,Year,rot_num,num_tree,mean_gsi,mean_ngsi
None,2014,0,2,0.36015,-1.082475
Light,2014,2,10,1.237575,-0.60072
Moderate,2014,2,2,0.097,-0.39955
Heavy,2014,0,0,NA,NA
None,2015,0,3,1.241666667,0.134544444
Light,2015,2,10,0.723845,-0.314485
Moderate,2015,1,1,1.1432,-0.9262
Heavy,2015,0,0,NA,NA
None,2016,2,7,1.242041667,0.266538889
Light,2016,3,7,0.959207143,-0.097407143
Moderate,2016,0,0,NA,NA
Heavy,2016,0,0,NA,NA
