bwa_pop,Year,rot_tree,num_tree
None,2014,0,2
Light,2014,13,8
Moderate,2014,0,2
Heavy,2014,0,1
None,2016,0,2
Light,2016,0,9
Moderate,2016,0,2
Heavy,2016,0,0
