bwa_pop,Year,rot_num,num_tree,mean_gsi,mean_ngsi
None,2014,0,2,0.32725,-1.443525
Light,2014,1,8,-0.04298125,-1.678297917
Moderate,2014,0,2,0.030575,-1.8907
Heavy,2014,0,1,0.49375,-1.541
None,2016,0,2,0.6971,-0.446166667
Light,2016,0,9,0.708683333,-0.511416667
Moderate,2016,0,2,-0.01125,-2.266983334
Heavy,2016,0,0,NA,NA
